,EE_afrr_up_activ,EE_afrr_down_activ,LV_afrr_up_activ,LV_afrr_down_activ,LT_afrr_up_activ,LT_afrr_down_activ,EE_afrr_up_min_bid,EE_afrr_up_max_bid,EE_afrr_down_min_bid,EE_afrr_down_max_bid,LV_afrr_up_min_bid,LV_afrr_up_max_bid,LV_afrr_down_min_bid,LV_afrr_down_max_bid,LT_afrr_up_min_bid,LT_afrr_up_max_bid,LT_afrr_down_min_bid,LT_afrr_down_max_bid,EE_afrr_up_price,EE_afrr_down_price,LV_afrr_up_price,LV_afrr_down_price,LT_afrr_up_price,LT_afrr_down_price,EE_procur_FCR_price,EE_procur_afrr_up_price,EE_procur_afrr_down_price,EE_procur_mfrr_up_price,EE_procur_mfrr_down_price,LV_procur_FCR_price,LV_procur_afrr_up_price,LV_procur_afrr_down_price,LV_procur_mfrr_up_price,LV_procur_mfrr_down_price,LT_procur_FCR_price,LT_procur_afrr_up_price,LT_procur_afrr_down_price,LT_procur_mfrr_up_price,LT_procur_mfrr_down_price,EE_procur_FCR_vol,EE_procur_afrr_up_vol,EE_procur_afrr_down_vol,EE_procur_mfrr_up_vol,EE_procur_mfrr_down_vol,LV_procur_FCR_vol,LV_procur_afrr_up_vol,LV_procur_afrr_down_vol,LV_procur_mfrr_up_vol,LV_procur_mfrr_down_vol,LT_procur_FCR_vol,LT_procur_afrr_up_vol,LT_procur_afrr_down_vol,LT_procur_mfrr_up_vol,LT_procur_mfrr_down_vol,EE_imb_MW,LV_imb_MW,LT_imb_MW,EE_mfrr_SA_up_activ,EE_mfrr_SA_down_activ,LV_mfrr_SA_up_activ,LV_mfrr_SA_down_activ,LT_mfrr_SA_up_activ,LT_mfrr_SA_down_activ,EE_mfrr_SA_up_min_bid,EE_mfrr_SA_up_max_bid,EE_mfrr_SA_down_min_bid,EE_mfrr_SA_down_max_bid,LV_mfrr_SA_up_min_bid,LV_mfrr_SA_up_max_bid,LV_mfrr_SA_down_min_bid,LV_mfrr_SA_down_max_bid,LT_mfrr_SA_up_min_bid,LT_mfrr_SA_up_max_bid,LT_mfrr_SA_down_min_bid,LT_mfrr_SA_down_max_bid,EE_mfrr_SA_up_vol,EE_mfrr_SA_down_vol,LV_mfrr_SA_up_vol,LV_mfrr_SA_down_vol,LT_mfrr_SA_up_vol,LT_mfrr_SA_down_vol,EE_up_sa_cbmp,EE_up_da_cbmp,EE_down_sa_cbmp,EE_down_da_cbmp,LV_up_sa_cbmp,LV_up_da_cbmp,LV_down_sa_cbmp,LV_down_da_cbmp,LT_up_sa_cbmp,LT_up_da_cbmp,LT_down_sa_cbmp,LT_down_da_cbmp,EE_dsb,LV_dsb,LT_dsb,10YLT-1001A0008Q_DA_eurmwh
2025-01-02 03:30:00,,,,,0.1,3.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.972,15.932,3.37,0.0,0.25,0.0,0.0,0.0,0.25,147.91,174.46,-89.0,36.03,150.0,150.01,-10.0,-10.0,0.0,328.9,-300.0,0.0,70.0,25.0,53.0,29.0,809.0,174.0,-1.0,0.0,-1.0,0.0,-1.0,,-1.0,,-1.0,,-1.0,,1.0,-1.0,1.0,3.86
2025-01-02 03:45:00,,,,,0.55,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.972,14.884,1.035,0.0,2.75,0.0,7.25,0.0,6.5,90.73,174.46,-89.0,36.03,150.0,150.01,-10.0,-10.0,0.0,328.9,-300.0,0.0,71.0,27.0,53.0,29.0,809.0,174.0,-17.7,0.0,-17.7,0.0,-17.7,,-17.7,,-17.7,,-17.7,,1.0,-1.0,1.0,3.86
2025-01-02 04:00:00,,,,,9.675,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.866,17.627,-21.098,0.0,2.25,0.0,7.25,0.0,6.5,87.03,174.46,-89.0,36.03,150.0,150.01,-10.0,-10.0,0.0,328.9,-300.0,0.0,71.0,24.0,53.0,29.0,809.0,179.0,-17.7,0.0,-17.7,0.0,-17.7,,-17.7,,-17.7,,-17.7,,-1.0,-1.0,-1.0,6.75
2025-01-02 04:15:00,,,,,0.05,2.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.866,16.749,2.095,0.0,0.5,0.0,0.0,0.0,6.5,87.03,174.46,-89.0,40.0,150.0,150.01,-10.0,-10.0,0.0,328.9,-300.0,0.0,71.0,24.0,53.0,29.0,809.0,178.0,-9.7,0.0,-9.7,0.0,-9.7,,-9.7,,-9.7,,-9.7,,-1.0,-1.0,1.0,6.75
2025-01-02 04:30:00,,,,,0.0,1.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.866,17.435,0.622,0.0,0.75,0.0,0.0,0.0,6.5,87.03,174.46,-89.0,40.0,150.0,150.01,-10.0,-10.0,0.0,328.9,-300.0,0.0,71.0,26.0,53.0,29.0,809.0,181.0,-9.7,0.0,-9.7,0.0,-9.7,,-9.7,,-9.7,,-9.7,,-1.0,-1.0,1.0,6.75
2025-01-02 04:45:00,,,,,0.05,1.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.866,17.323,1.53,0.0,3.25,0.0,7.25,0.0,11.25,87.03,174.46,-89.0,-9.7,150.0,150.01,-10.0,-10.0,0.0,328.9,-300.0,0.0,71.0,28.0,53.0,29.0,809.0,180.0,-17.7,0.0,-17.7,0.0,-17.7,,-17.7,,-17.7,,-17.7,,-1.0,-1.0,1.0,6.75
2025-01-02 05:00:00,,,,,0.0,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.579,21.137,11.378,0.0,2.25,0.0,0.0,0.0,25.25,92.91,174.46,-89.0,-9.7,,,,,0.0,328.9,-300.0,0.0,71.0,24.0,0.0,0.0,809.0,180.0,-25.7,0.0,-25.7,0.0,-25.7,,-25.7,,-25.7,,-25.7,,-1.0,-1.0,1.0,11.31
2025-01-02 05:15:00,,,,,0.0,6.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.579,19.627,4.215,0.0,2.25,0.0,0.0,0.0,29.5,92.91,174.46,-89.0,-9.7,,,,,0.0,328.9,-300.0,0.0,71.0,24.0,0.0,0.0,809.0,180.0,-25.7,0.0,-25.7,0.0,-25.7,,-25.7,,-25.7,,-25.7,,-1.0,-1.0,1.0,11.31
2025-01-02 05:30:00,,,,,0.4,1.575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.579,17.161,3.982,0.0,2.0,0.0,0.0,0.0,22.25,92.91,174.46,-89.0,-9.7,,,,,0.0,328.9,-300.0,0.0,71.0,24.0,0.0,0.0,809.0,182.0,-25.7,0.0,-25.7,0.0,-25.7,,-25.7,,-25.7,,-25.7,,-1.0,-1.0,1.0,11.31
2025-01-02 05:45:00,,,,,6.65,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.579,13.016,-3.04,0.0,2.25,0.0,0.0,0.0,23.25,92.91,174.46,-89.0,-9.7,,,,,0.0,328.9,-300.0,0.0,71.0,24.0,0.0,0.0,809.0,182.0,-25.7,0.0,-25.7,0.0,-25.7,,-25.7,,-25.7,,-25.7,,-1.0,-1.0,-1.0,11.31
2025-01-02 06:00:00,,,,,0.3,8.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.48,17.602,17.597,0.0,1.75,0.0,0.0,0.0,15.75,124.9,172.98,-89.0,-9.7,,,,,0.0,328.9,-300.0,0.0,71.0,24.0,0.0,0.0,809.0,185.0,-17.7,0.0,-17.7,0.0,-17.7,,-17.7,,-17.7,,-17.7,,1.0,-1.0,1.0,19.12
2025-01-02 06:15:00,,,,,0.0,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.48,11.395,12.868,0.0,1.75,0.0,0.0,0.0,13.25,124.9,172.98,-89.0,-9.7,,,,,0.0,328.9,-300.0,0.0,71.0,25.0,0.0,0.0,809.0,185.0,-17.7,0.0,-17.7,0.0,-17.7,,-17.7,,-17.7,,-17.7,,1.0,-1.0,1.0,19.12
2025-01-02 06:30:00,,,,,4.025,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.48,5.271,8.015,0.0,1.5,0.0,0.0,0.0,28.75,124.9,172.98,-89.0,-9.7,,,,,0.0,328.9,-300.0,0.0,71.0,25.0,0.0,0.0,809.0,185.0,-25.7,0.0,-25.7,0.0,-25.7,,-25.7,,-25.7,,-25.7,,1.0,-1.0,1.0,19.12
2025-01-02 06:45:00,,,,,10.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.48,-0.643,-1.162,0.0,1.5,0.0,0.0,0.0,22.25,124.9,172.98,-89.0,-9.7,,,,,0.0,328.9,-300.0,0.0,71.0,23.0,0.0,0.0,809.0,185.0,-25.7,0.0,-25.7,0.0,-25.7,,-25.7,,-25.7,,-25.7,,1.0,-1.0,-1.0,19.12
2025-01-02 07:00:00,,,,,4.0,5.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.854,11.447,8.42,0.0,1.25,0.0,0.0,0.0,3.75,147.58,174.09,-89.0,-9.7,150.0,150.01,-10.01,-10.0,0.0,328.9,-300.0,0.0,70.0,23.0,53.0,56.0,809.0,185.0,-9.7,0.0,-9.7,0.0,-9.7,,-9.7,,-9.7,,-9.7,,1.0,-1.0,1.0,40.08
2025-01-02 07:15:00,,,,,0.0,11.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.854,6.824,17.61,0.0,1.25,0.0,0.0,0.0,1.25,147.95,174.09,-89.0,-9.7,150.0,150.01,-10.01,-10.0,0.0,328.9,-300.0,0.0,70.0,22.0,53.0,56.0,809.0,185.0,-9.7,0.0,-9.7,0.0,-9.7,,-9.7,,-9.7,,-9.7,,1.0,-1.0,1.0,40.08
2025-01-02 07:30:00,,,,,5.775,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.854,4.362,11.42,0.0,1.0,0.0,4.5,0.0,22.5,147.81,174.09,-89.0,-9.7,150.0,150.01,-10.01,-10.0,0.0,328.9,-300.0,0.0,70.0,17.0,53.0,56.0,809.0,145.0,-10.01,0.0,-10.01,0.0,-10.01,,-10.01,,-25.7,,-25.7,,1.0,-1.0,1.0,40.08
2025-01-02 07:45:00,,,,,11.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.854,-6.75,5.198,0.0,2.0,0.0,0.0,0.0,34.25,147.77,174.09,-89.0,-9.7,150.0,150.01,-10.01,-10.0,0.0,328.9,-300.0,0.0,70.0,14.0,53.0,56.0,809.0,144.0,-89.0,0.0,-89.0,0.0,-89.0,,-89.0,,-214.0,,-214.0,,1.0,-1.0,1.0,40.08
2025-01-02 08:00:00,,,,,1.6,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.191,-1.718,4.98,0.0,0.0,0.0,0.0,0.0,0.0,150.0,170.02,-89.0,13.79,150.0,150.01,-10.01,-10.0,0.0,328.9,-300.0,0.0,33.0,62.0,104.0,89.0,809.0,145.0,13.79,0.0,13.79,0.0,13.79,,13.79,,0.0,,0.0,,1.0,-1.0,1.0,93.73
2025-01-02 08:15:00,,,,,0.0,2.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.191,-4.284,1.135,1.25,0.0,0.0,0.0,0.0,0.0,150.0,170.02,-89.0,13.79,150.0,150.01,-10.01,-10.0,0.0,328.9,-300.0,0.0,33.0,62.0,104.0,89.0,809.0,145.0,170.02,0.0,170.02,0.0,170.02,,170.02,,170.02,,170.02,,1.0,1.0,1.0,93.73
2025-01-02 08:30:00,,,,,0.0,1.925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.191,-6.305,1.205,1.0,0.0,8.75,0.0,0.0,0.0,150.0,170.02,-89.0,13.79,150.0,150.01,-10.01,-10.0,0.0,328.9,-300.0,0.0,33.0,60.0,104.0,89.0,809.0,185.0,170.02,0.0,170.02,0.0,170.02,,170.02,,170.02,,170.02,,1.0,1.0,1.0,93.73
2025-01-02 08:45:00,,,,,0.0,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.191,-4.894,2.367,1.5,0.0,10.75,0.0,0.0,0.0,150.0,170.02,-89.0,13.79,150.0,150.01,-10.01,-10.0,0.0,328.9,-300.0,0.0,33.0,60.0,104.0,89.0,809.0,184.0,170.02,0.0,170.02,0.0,170.02,,170.02,,170.02,,170.02,,1.0,1.0,1.0,93.73
2025-01-02 09:00:00,,,,,0.0,10.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.777,0.257,13.628,0.0,7.75,0.0,0.0,0.0,0.0,150.0,170.02,-89.0,99.0,150.0,150.01,-10.01,-10.0,0.0,328.9,-300.0,0.0,24.0,70.0,104.0,116.0,809.0,167.0,13.79,0.0,13.79,0.0,13.79,,13.79,,13.79,,13.79,,-1.0,1.0,1.0,118.61
2025-01-02 09:15:00,,,,,1.825,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.777,-2.446,12.683,0.0,6.5,0.0,0.0,0.0,15.0,150.0,170.02,-89.0,99.0,150.0,150.01,-10.01,-10.0,0.0,328.9,-300.0,0.0,24.0,70.0,104.0,116.0,809.0,160.0,13.79,0.0,13.79,0.0,13.79,,13.79,,-17.7,,-17.7,,-1.0,1.0,1.0,118.61
2025-01-02 09:30:00,,,,,1.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.777,-4.495,8.05,0.0,1.75,0.0,0.0,0.0,10.0,150.0,170.02,-89.0,99.0,150.0,150.01,-10.01,-10.0,0.0,328.9,-300.0,0.0,24.0,71.0,104.0,116.0,809.0,160.0,13.79,0.0,13.79,0.0,13.79,,13.79,,-17.7,,-17.7,,-1.0,1.0,1.0,118.61
2025-01-02 09:45:00,,,,,0.125,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.777,-8.701,0.745,1.0,0.0,0.0,0.0,0.0,0.0,150.0,170.02,-89.0,99.0,150.0,150.01,-10.01,-10.0,0.0,328.9,-300.0,0.0,24.0,69.0,104.0,116.0,809.0,169.0,170.02,0.0,170.02,0.0,170.02,,170.02,,170.02,,170.02,,-1.0,1.0,1.0,118.61
2025-01-02 10:00:00,,,,,0.025,4.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-53.426,-20.192,3.702,0.0,8.75,0.0,0.0,0.0,0.0,150.0,168.72,-89.0,13.68,150.0,150.01,-10.01,-10.0,0.0,328.9,-300.0,0.0,8.0,75.0,68.0,125.0,809.0,162.0,13.68,0.0,13.68,0.0,13.68,,13.68,,13.68,,13.68,,-1.0,1.0,1.0,124.52
2025-01-02 10:15:00,,,,,6.35,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-53.426,-16.332,-4.828,0.0,10.25,0.0,0.0,0.0,0.0,150.0,168.72,-89.0,75.7,150.0,150.01,-10.01,-10.0,0.0,328.9,-300.0,0.0,8.0,74.0,104.0,125.0,809.0,163.0,13.68,0.0,13.68,0.0,13.68,,13.68,,13.68,,13.68,,-1.0,1.0,-1.0,124.52
2025-01-02 10:30:00,,,,,11.45,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-53.426,-18.378,-14.758,0.5,0.0,8.75,0.0,0.0,0.0,150.0,168.72,-89.0,75.7,150.0,150.01,-10.01,-10.0,0.0,328.9,-300.0,0.0,8.0,74.0,104.0,125.0,809.0,165.0,168.72,0.0,168.72,0.0,168.72,,168.72,,168.72,,168.72,,-1.0,1.0,-1.0,124.52
2025-01-02 10:45:00,,,,,5.65,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-53.426,-14.814,-17.792,2.0,0.0,13.0,0.0,14.5,0.0,150.0,168.72,-89.0,40.0,150.0,150.01,-10.01,-10.0,0.0,328.9,-300.0,0.0,8.0,73.0,104.0,125.0,809.0,172.0,201.0,0.0,201.0,0.0,201.0,,201.0,,201.0,,201.0,,-1.0,1.0,-1.0,124.52
2025-01-02 11:00:00,,,,,0.05,4.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-95.998,-12.838,-10.012,8.25,0.0,13.0,0.0,11.0,0.0,150.0,170.02,-89.0,40.0,150.0,150.01,-10.01,-10.0,0.0,328.9,-300.0,0.0,33.0,67.0,104.0,125.0,809.0,162.0,201.0,0.0,201.0,0.0,201.0,,201.0,,201.0,,201.0,,1.0,1.0,-1.0,123.31
2025-01-02 11:15:00,,,,,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-95.998,-8.812,-18.0,8.25,0.0,13.0,0.0,0.0,0.0,150.0,170.02,-89.0,99.0,150.0,150.01,-10.01,-10.0,0.0,328.9,-300.0,0.0,33.0,68.0,104.0,125.0,809.0,163.0,201.0,0.0,201.0,0.0,201.0,,201.0,,201.0,,201.0,,1.0,1.0,-1.0,123.31
2025-01-02 11:30:00,,,,,11.125,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-95.998,-5.536,-33.628,6.75,0.0,13.0,0.0,14.5,0.0,161.6,170.02,-89.0,40.0,150.0,150.01,-10.01,-10.0,0.0,328.9,-300.0,0.0,27.0,70.0,104.0,125.0,809.0,170.0,201.0,0.0,201.0,0.0,201.0,,201.0,,201.0,,201.0,,1.0,1.0,-1.0,123.31
2025-01-02 11:45:00,,,,,11.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-95.998,-4.754,-53.152,6.75,0.0,13.0,0.0,14.5,0.0,170.02,206.6,-89.0,99.0,150.0,150.01,-10.01,-10.0,0.0,328.9,-300.0,0.0,27.0,71.0,104.0,125.0,809.0,172.0,206.6,0.0,206.6,0.0,206.6,,206.6,,206.6,,206.6,,1.0,1.0,-1.0,123.31
2025-01-02 12:00:00,,,,,0.95,5.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-119.958,-8.694,-36.89,6.25,0.0,13.0,0.0,50.5,0.0,170.02,206.6,-89.0,99.0,150.0,150.01,-10.01,-10.0,0.0,328.9,-300.0,0.0,27.0,40.0,104.0,116.0,809.0,163.0,239.0,0.0,239.0,0.0,239.0,,239.0,,239.0,,239.0,,1.0,1.0,-1.0,110.47
2025-01-02 12:15:00,,,,,3.225,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-119.958,-7.484,-45.48,6.0,0.0,13.0,0.0,46.25,0.0,170.02,206.6,-89.0,60.47,150.0,150.01,-10.01,-10.0,0.0,328.9,-300.0,0.0,27.0,39.0,104.0,116.0,809.0,155.0,239.0,0.0,239.0,0.0,239.0,,239.0,,239.0,,239.0,,1.0,1.0,-1.0,110.47
